method,ksize,sigma,psnr,ssim,d,sigma_s,sigma_r,k
Gaussian,3.0,0.5,29.68113833996235,0.7480149853094042,,,,
Gaussian,3.0,1.0,30.310195453705443,0.7825583080442159,,,,
Gaussian,3.0,1.5,30.293160164670876,0.7838756405765404,,,,
Gaussian,3.0,2.0,30.27819278311877,0.783867074091862,,,,
Gaussian,3.0,3.0,30.266668384262275,0.7837868892132484,,,,
Gaussian,5.0,0.5,29.68113833996235,0.7480149853094042,,,,
Gaussian,5.0,1.0,30.365907254439346,0.789597645122738,,,,
Gaussian,5.0,1.5,30.043579245598746,0.7819179846714115,,,,
Gaussian,5.0,2.0,29.824481180119204,0.7735138103900842,,,,
Gaussian,5.0,3.0,29.609244962408287,0.7641812097798032,,,,
Gaussian,7.0,0.5,29.68113833996235,0.7480149853094042,,,,
Gaussian,7.0,1.0,30.362386036608513,0.7899948344404742,,,,
Gaussian,7.0,1.5,29.875584794514268,0.7774247220037253,,,,
Gaussian,7.0,2.0,29.367660775951364,0.7571687298639809,,,,
Gaussian,7.0,3.0,28.867584152346936,0.7340307842080532,,,,
Gaussian,9.0,0.5,29.68113833996235,0.7480149853094042,,,,
Gaussian,9.0,1.0,30.362386036608513,0.7899948344404742,,,,
Gaussian,9.0,1.5,29.82865995466347,0.776238322047205,,,,
Gaussian,9.0,2.0,29.140238685850452,0.7493120414491331,,,,
Gaussian,9.0,3.0,28.329383562485912,0.7129062736511189,,,,
Bilateral,,,29.284745763055614,0.7405075826512192,5.0,3.0,10.0,
Bilateral,,,30.028822592362417,0.7748989384881549,5.0,3.0,20.0,
Bilateral,,,30.442787793462717,0.7905638698705921,5.0,3.0,30.0,
Bilateral,,,30.749534020664985,0.7996040569270284,5.0,3.0,50.0,
Bilateral,,,30.75753217940272,0.7987108918763236,5.0,3.0,75.0,
Bilateral,,,30.666387193863716,0.7957034703582878,5.0,3.0,100.0,
Bilateral,,,29.300202459800985,0.7413143807161862,5.0,5.0,10.0,
Bilateral,,,30.05184851059988,0.7759830108596649,5.0,5.0,20.0,
Bilateral,,,30.465915805817094,0.791577589449329,5.0,5.0,30.0,
Bilateral,,,30.765922519021938,0.8002406239109937,5.0,5.0,50.0,
