name,scene,iso,sigma_true,stratum
NIND_droid_ISO800,NIND_droid,800,3.72,light
NIND_MuseeL-heads_ISO400,NIND_MuseeL-heads,400,3.74,light
NIND_Ottignies_ISO640,NIND_Ottignies,640,4.46,light
NIND_MuseeL-turtle_ISO800,NIND_MuseeL-turtle,800,4.66,light
NIND_MuseeL-Armlessness_ISO800,NIND_MuseeL-Armlessness,800,4.9,light
NIND_MuseeL-turtle_ISO1250,NIND_MuseeL-turtle,1250,5.72,light
NIND_MuseeL-head_ISO640,NIND_MuseeL-head,640,6.35,moderate
NIND_MuseeL-Armlessness_ISO2000,NIND_MuseeL-Armlessness,2000,6.47,moderate
NIND_droid_ISO3200,NIND_droid,3200,6.53,moderate
NIND_MuseeL-heads_ISO3200,NIND_MuseeL-heads,3200,8.1,moderate
NIND_droid_ISO6400,NIND_droid,6400,8.92,moderate
NIND_Ottignies_ISO3200,NIND_Ottignies,3200,9.58,moderate
NIND_MuseeL-Armlessness_ISO6400,NIND_MuseeL-Armlessness,6400,10.37,heavy
NIND_MuseeL-head_ISO3200,NIND_MuseeL-head,3200,11.13,heavy
NIND_MuseeL-heads_ISO6400,NIND_MuseeL-heads,6400,11.83,heavy
NIND_MuseeL-turtle_ISO6400,NIND_MuseeL-turtle,6400,13.65,heavy
NIND_Ottignies_ISO6400,NIND_Ottignies,6400,14.45,heavy
NIND_MuseeL-head_ISO6400,NIND_MuseeL-head,6400,15.41,heavy
